timestamp,lat,lon,current_speed,free_flow_speed,hour,day_of_week,month,day_of_month,is_weekend,is_peak_hour,congestion_level,distance_from_center,quadrant
2024-01-01 00:00:00,28.507592605120063,77.24500425441511,44.17484323924926,73.24244083710704,0,0,1,1,0,0,0.39686822647684306,0.11223889050657342,SE
2024-01-01 01:00:00,28.463924355376367,77.25197731232961,29.16129675674267,76.98079211536466,1,0,1,1,0,0,0.6211873643357544,0.15601199747247496,SE
2024-01-01 02:00:00,28.654635054629736,77.24265354201734,57.33102548229237,68.10304849756255,2,0,1,1,0,0,0.15817240568394997,0.052838485652031426,NE
2024-01-01 03:00:00,28.65376023714053,77.15985640360671,29.60882407971782,77.49186866155944,3,0,1,1,0,0,0.6179105680231769,0.06327662737035046,NW
2024-01-01 04:00:00,28.66686913699405,77.10984502724848,66.71835692314758,86.67057856397794,4,0,1,1,0,0,0.23020755106765733,0.11241636044299311,NW
2024-01-01 05:00:00,28.533026954505388,77.27774918167624,63.854469792091685,73.97838943990482,5,0,1,1,0,0,0.13684968981430912,0.1061456521423569,SE
2024-01-01 06:00:00,28.51006183309613,77.12178778226829,46.5918899928575,61.93617166028588,6,0,1,1,0,0,0.2477434632477824,0.13560359813677714,SW
2024-01-01 07:00:00,28.43668846422486,77.38038049528676,47.88393406103807,62.76852662486136,7,0,1,1,0,1,0.23713464954788022,0.2465262715746883,SE
2024-01-01 08:00:00,28.409789810937003,77.20265946891033,55.23449586963865,84.91526743666662,8,0,1,1,0,1,0.3495339820859087,0.20420864725528157,SW
2024-01-01 09:00:00,28.61886048590905,77.08037920643176,68.39876074353394,78.05002701929092,9,0,1,1,0,1,0.12365487424330501,0.12871641293393432,NW
2024-01-01 10:00:00,28.601587251300423,77.12738536764606,67.03959997706457,61.70992018777287,10,0,1,1,0,0,0.0,0.08253818507096526,SW
2024-01-01 11:00:00,28.48513770471637,77.12907701904147,75.10717974518289,75.4770729771277,11,0,1,1,0,0,0.004900736307791198,0.1515500299307348,SW
